date,pm25 - day 1,pm10 - day 1,o3 - day 1,no2 - day 1,temp - day 1,humidity - day 1,visibility - day 1,solarradiation - day 1,precip - day 1,windspeed - day 1,winddir - day 1,pm25 - day 2,pm10 - day 2,o3 - day 2,no2 - day 2,temp - day 2,humidity - day 2,visibility - day 2,solarradiation - day 2,precip - day 2,windspeed - day 2,winddir - day 2,pm25 - day 3,pm10 - day 3,o3 - day 3,no2 - day 3,temp - day 3,humidity - day 3,visibility - day 3,solarradiation - day 3,precip - day 3,windspeed - day 3,winddir - day 3
21/09/2016,0.169811320754717,0.12345679012345678,0.25471698113207547,0.4642857142857143,0.6015831134564643,0.6529318541996829,0.6337719298245615,0.5013950892857143,0.0,0.06498194945848376,0.18492769744160176,0.12499999999999999,0.09876543209876543,0.22641509433962265,0.39285714285714285,0.5978260869565217,0.697160883280757,0.6855895196506551,0.5029256060183895,0.0,0.06250000000000003,0.018920422927100725,0.2,0.06172839506172839,0.1792452830188679,0.22580645161290322,0.6675461741424802,0.7287066246056781,0.5599128540305011,0.4995820562830872,0.0,0.1875,0.06811231581873783
29/01/2022,0.30817610062893086,0.12345679012345678,0.2641509433962264,0.14285714285714285,0.39313984168865435,0.6798732171156894,0.39473684210526316,0.1646205357142857,0.0,0.25992779783393505,0.7038375973303671,0.3472222222222222,0.2222222222222222,0.22641509433962265,0.3214285714285714,0.38586956521739124,0.7649842271293377,0.30349344978165943,0.05516857063248816,0.06339468302658487,0.25000000000000006,0.7120200333889817,0.7200000000000001,0.12345679012345678,0.2169811320754717,0.16129032258064516,0.3245382585751979,0.7444794952681386,0.13507625272331156,0.06324881582613542,0.0,0.1875,0.6285793716986378
08/05/2018,0.2955974842767296,0.2222222222222222,0.5566037735849056,0.35714285714285715,0.6939313984168864,0.4072900158478605,0.8245614035087719,0.8738839285714286,0.0,0.12996389891696752,0.3186874304783093,0.3055555555555556,0.13580246913580246,0.44339622641509435,0.25,0.6576086956521738,0.3154574132492113,0.8820960698689958,0.8701588186124268,0.0,0.1875,0.27824151363383415,0.25333333333333335,0.1728395061728395,0.43396226415094336,0.12903225806451613,0.6015831134564643,0.3785488958990536,0.7450980392156862,0.8551128448035665,0.0,0.25000000000000006,0.1862663330553239
07/01/2015,0.5031446540880503,0.18518518518518517,0.09433962264150943,0.6071428571428571,0.2453825857519789,0.8446909667194928,0.29385964912280704,0.083984375,0.010224948875255624,0.2671480144404332,0.5775862068965518,0.4930555555555555,0.25925925925925924,0.009433962264150943,0.75,0.2309782608695652,0.9085173501577286,0.1462882096069869,0.04792421287266649,0.0,0.1875,0.5937673900946021,0.34666666666666673,0.2222222222222222,0.04716981132075472,0.6451612903225806,0.287598944591029,0.8217665615141956,0.4793028322440088,0.1348565059905266,0.0,0.18055555555555558,0.7903808729496803
05/09/2022,0.339622641509434,0.1728395061728395,0.3962264150943396,0.3214285714285714,0.7203166226912928,0.5958795562599049,0.6754385964912282,0.33621651785714285,0.0,0.06498194945848376,0.4265850945494995,0.24305555555555555,0.16049382716049382,0.3584905660377358,0.2857142857142857,0.7391304347826086,0.24763406940063093,0.923580786026201,0.6313736416829201,0.0,0.1875,0.30634390651085136,0.15333333333333335,0.16049382716049382,0.4528301886792453,0.12903225806451613,0.7387862796833772,0.17507886435331232,0.9128540305010894,0.4399554193368626,0.0,0.1875,0.2696691687517376
16/02/2021,0.2830188679245283,0.1111111111111111,0.16037735849056603,0.35714285714285715,0.29023746701846964,0.7242472266244055,0.37280701754385964,0.052455357142857144,0.09406952965235174,0.3176895306859206,0.49360400444938823,0.3263888888888889,0.12345679012345678,0.18867924528301885,0.2857142857142857,0.1684782608695652,0.2902208201892744,0.9366812227074237,0.21454444134856504,0.0,0.3125,0.3864774624373956,0.39333333333333337,0.12345679012345678,0.20754716981132074,0.1935483870967742,0.029023746701846986,0.5788643533123028,0.886710239651416,0.31095012538311506,0.0,0.2569444444444445,0.27912149013066445
09/05/2014,,0.1728395061728395,0.2830188679245283,0.2142857142857143,0.5382585751978891,0.8003169572107767,0.3135964912280702,0.35267857142857145,0.15337423312883436,0.3249097472924187,0.6078976640711902,,0.14814814814814814,0.2169811320754717,0.2857142857142857,0.546195652173913,0.6719242902208202,0.44323144104803497,0.666759543048203,0.18609406952965235,0.25000000000000006,0.6449638286032277,,0.19753086419753085,0.25471698113207547,0.1935483870967742,0.6094986807387862,0.49526813880126164,0.5381263616557734,0.6140986347171915,0.009259259259259259,0.33159722222222227,0.5779816513761469
24/05/2021,0.15094339622641512,0.06172839506172839,0.27358490566037735,0.07142857142857142,0.5197889182058048,0.602218700475436,0.5526315789473685,0.6439732142857143,0.018404907975460124,0.38989169675090257,0.5931590656284761,0.13194444444444442,0.1111111111111111,0.3113207547169811,0.07142857142857142,0.4918478260869565,0.7003154574132491,0.5043668122270742,0.35051546391752575,0.15746421267893662,0.5,0.632442960489705,0.18666666666666668,0.09876543209876543,0.2641509433962264,0.03225806451612903,0.575197889182058,0.38958990536277605,0.5599128540305011,0.8481471161883534,0.0023148148148148147,0.6250000000000001,0.5957742563247151
13/10/2018,0.1320754716981132,0.1728395061728395,0.2641509433962264,0.2142857142857143,0.7150395778364116,0.6085578446909667,0.8837719298245614,0.35351562500000006,0.002044989775051125,0.35018050541516244,0.5008342602892102,0.2916666666666667,0.14814814814814814,0.1981132075471698,0.25,0.671195652173913,0.585173501577287,0.5764192139737992,0.31624407913067704,0.0,0.29340277777777785,0.402615470228158,0.3733333333333334,0.2839506172839506,0.1981132075471698,0.3548387096774194,0.5936675461741424,0.6482649842271293,0.46405228758169936,0.3970465310671496,0.0,0.1875,0.28468167917709203
30/07/2023,0.0,0.12345679012345678,0.24528301886792453,0.03571428571428571,0.7176781002638521,0.6719492868462758,0.9232456140350878,0.5943080357142857,0.012269938650306749,0.19494584837545126,0.6334816462736375,0.05555555555555555,0.06172839506172839,0.24528301886792453,0.03571428571428571,0.7391304347826086,0.7681388012618295,0.5327510917030569,0.630259125104486,0.0,0.25000000000000006,0.6360601001669449,0.04666666666666667,0.1111111111111111,0.14150943396226415,0.06451612903225806,0.6569920844327177,0.9069400630914826,0.34204793028322444,0.03259960991919755,0.40509259259259256,0.1875,0.59271615234918
